volledigeOmschrijving,soortWoning
"[ 0.07696328 -0.34188786  1.8506414   1.0412459   0.7021342  -0.15812956
  3.699468    0.52214605 -2.5311203  -1.0590616 ]","[-0.01093002  0.02485782  0.15307218  0.10042553 -0.00835679  0.05713421
  0.12110322 -0.06190487 -0.08021249 -0.0039078 ]"
"[ 0.2632248  -0.4144443   1.4786427   0.93215775  0.54395235 -0.04354084
  3.5047803   0.78843445 -2.2624004  -0.835774  ]","[ 0.516263   -0.6621382   2.3926668   0.03240407  1.1783825  -0.7523264
  2.9561567   1.2458208  -2.3247283   0.22658013]"
"[-0.3501371   0.44514588  1.4646465  -0.60460556  1.5849493  -0.9195292
  2.8540747   3.964896   -4.7808223  -1.524505  ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.3501371   0.44514588  1.4646465  -0.60460556  1.5849493  -0.9195292
  2.8540747   3.964896   -4.7808223  -1.524505  ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.19518287 -0.37377572  2.0072265   0.92595536  0.72798425 -0.5000327
  3.2841117  -0.0278022  -2.3683732  -1.1168433 ]","[-0.01093002  0.02485782  0.15307218  0.10042553 -0.00835679  0.05713421
  0.12110322 -0.06190487 -0.08021249 -0.0039078 ]"
"[ 0.50702834 -0.68522894  1.8465116   1.3448333   0.4416687  -0.16249947
  4.176643    0.5398119  -2.2203932  -1.0309165 ]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[-0.12207565 -0.3694994   2.1251154   1.2359751   0.6206143  -0.43036225
  3.7925858  -0.06927468 -2.4100788  -1.2069974 ]","[-0.07749262 -0.08662447  0.9837723  -0.06405678  0.9876338  -0.6021377
  1.1683023   1.9036317  -2.5826633  -1.0217075 ]"
"[-0.196861   -0.26834643  2.1217716   0.93666315  0.7930569  -0.46970966
  3.518134    0.03231023 -2.4925468  -1.1732746 ]","[ 0.03583064 -0.00196569 -0.03721402  0.0343334   0.16131918  0.05549572
  0.04000439  0.28173155 -0.21534409 -0.23366252]"
"[-0.18936774 -0.27838057  2.0782263   0.89152914  0.7791237  -0.47118732
  3.4938254   0.10453416 -2.4619853  -1.1226671 ]","[ 0.03583064 -0.00196569 -0.03721402  0.0343334   0.16131918  0.05549572
  0.04000439  0.28173155 -0.21534409 -0.23366252]"
"[ 0.46418762 -0.72358435  1.7480122   1.2867703   0.4273464  -0.06123271
  3.9315631   0.5671109  -2.261685   -1.2271165 ]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[-0.02117475 -0.57595474  2.1311402   1.3157952   0.6647757  -0.43850794
  4.1616125   0.16670412 -2.5482104  -1.0680003 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.36317056 -0.33901328  2.2854478   1.4509223   0.6434487  -0.4421699
  4.1063137  -0.10636093 -2.5606046  -1.1775815 ]","[-0.07749262 -0.08662447  0.9837723  -0.06405678  0.9876338  -0.6021377
  1.1683023   1.9036317  -2.5826633  -1.0217075 ]"
"[ 0.01480287 -0.59506094  2.1596172   1.3726697   0.6365201  -0.45177504
  4.11912     0.10094626 -2.4851735  -1.1261772 ]","[ 0.03442356 -0.4968094   2.0546138   0.84249234  1.1357318  -0.5620651
  3.1409285   0.7843309  -2.5406876   0.38346455]"
"[-0.11100478 -0.38612235  2.110481    1.1052384   0.84774804 -0.48272145
  3.9449732   0.21435747 -2.583768   -0.9719806 ]","[-0.03878943 -0.06787348  0.06716269 -0.0853338   0.1412032  -0.09697701
  0.05147123  0.27083394 -0.4423414  -0.27789843]"
"[-0.284712    0.25719902  1.514534    0.02536933  1.177137   -0.5933019
  3.0137353   2.4660838  -3.7965157  -1.2991778 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.21453318 -0.17787501  1.8256286   0.8843647   0.75078076 -0.39641038
  3.3312743   0.10250589 -2.320172   -0.84570783]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.11918713 -0.5540536   2.3506107   1.4779782   0.7134907  -0.4231406
  4.4214454   0.07036166 -2.555832   -1.2850734 ]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[-0.284712    0.25719902  1.514534    0.02536933  1.177137   -0.5933019
  3.0137353   2.4660838  -3.7965157  -1.2991778 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.3501371   0.44514588  1.4646465  -0.60460556  1.5849493  -0.9195292
  2.8540747   3.964896   -4.7808223  -1.524505  ]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[ 0.32125485 -0.64861935  1.7489905   1.2804446   0.45693997 -0.1338021
  3.9315393   0.61145866 -2.2933404  -0.9726274 ]","[ 0.04093628 -0.5081539   2.1034012   0.7962563   1.189313   -0.63797337
  3.1169617   0.87681776 -2.5780122   0.27427822]"
"[ 0.02049456 -0.53819937  1.8547523   1.0895904   0.5533314  -0.28120637
  3.6146045   0.314541   -2.3425992  -1.1155431 ]","[ 0.42614022 -0.61138916  2.3692272   0.08438683  1.1840471  -0.75029236
  2.984749    1.1881474  -2.3046587   0.23066908]"
"[ 0.04149248 -0.49860194  1.9786924   1.1886916   0.7083905  -0.37321174
  4.0780516   0.32380414 -2.5402815  -1.0228332 ]","[-0.02353624 -0.03199091  0.13420671 -0.09938577  0.19096956 -0.04419796
  0.1448713   0.29160935 -0.46693444 -0.34187686]"
"[ 0.07696328 -0.34188786  1.8506414   1.0412459   0.7021342  -0.15812956
  3.699468    0.52214605 -2.5311203  -1.0590616 ]","[-0.00288976 -0.02551908  0.16328096 -0.02827487  0.09246991 -0.00406185
  0.14266773  0.12683468 -0.20187378 -0.25891054]"
"[ 0.07696328 -0.34188786  1.8506414   1.0412459   0.7021342  -0.15812956
  3.699468    0.52214605 -2.5311203  -1.0590616 ]","[-0.03339614 -0.09728422  0.02919291 -0.00017094 -0.00706282 -0.10961994
 -0.04413243  0.08528382 -0.15268768 -0.13095367]"
"[ 0.05657722 -0.27144268  1.5096538   1.0031489   0.6153949  -0.18668786
  3.2804458   0.59195423 -2.4202187  -1.0317852 ]","[-0.00417604 -0.02021421  0.03395922 -0.06808163  0.22539419 -0.01441918
  0.09353963  0.36905777 -0.4736696  -0.32925284]"
"[ 0.07696328 -0.34188786  1.8506414   1.0412459   0.7021342  -0.15812956
  3.699468    0.52214605 -2.5311203  -1.0590616 ]","[-0.00288976 -0.02551908  0.16328096 -0.02827487  0.09246991 -0.00406185
  0.14266773  0.12683468 -0.20187378 -0.25891054]"
"[-0.1730977  -0.4208008   1.9990284   0.8795907   0.7920735  -0.5431902
  3.3478596   0.14524154 -2.4327507  -1.0732673 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.02266556 -0.2668372   1.574622    0.9412763   0.6523143  -0.25013945
  3.5928047   0.73047584 -2.4341564  -0.8074762 ]","[-0.00859257 -0.5124307   2.1901097   0.84789085  1.2521297  -0.5557427
  3.4164646   0.8160905  -2.8094969   0.28187254]"
"[ 0.07696328 -0.34188786  1.8506414   1.0412459   0.7021342  -0.15812956
  3.699468    0.52214605 -2.5311203  -1.0590616 ]","[-0.00288976 -0.02551908  0.16328096 -0.02827487  0.09246991 -0.00406185
  0.14266773  0.12683468 -0.20187378 -0.25891054]"
"[ 0.15107414 -0.37949866  2.0510783   1.3323122   0.64542854 -0.18933883
  4.277894    0.35137716 -2.5806885  -1.1142472 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.20970242 -0.4613575   2.0012841   1.3844689   0.608439   -0.19755115
  4.2072725   0.3417398  -2.5079286  -1.2202007 ]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[ 0.07696328 -0.34188786  1.8506414   1.0412459   0.7021342  -0.15812956
  3.699468    0.52214605 -2.5311203  -1.0590616 ]","[-0.03339614 -0.09728422  0.02919291 -0.00017094 -0.00706282 -0.10961994
 -0.04413243  0.08528382 -0.15268768 -0.13095367]"
"[ 0.07696328 -0.34188786  1.8506414   1.0412459   0.7021342  -0.15812956
  3.699468    0.52214605 -2.5311203  -1.0590616 ]","[-0.00288976 -0.02551908  0.16328096 -0.02827487  0.09246991 -0.00406185
  0.14266773  0.12683468 -0.20187378 -0.25891054]"
"[-0.08215458 -0.42204368  2.183391    1.2981801   0.7168008  -0.4858625
  4.139174    0.2202981  -2.5956004  -1.0925704 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.23618488 -0.71903616  2.3312578   1.4711224   0.660309   -0.40258718
  4.472984    0.3219206  -2.49323    -1.1404237 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.40101263 -0.5152312   1.728776    1.1425416   0.53203183 -0.05887252
  3.9212005   0.5449482  -2.2829235  -0.98170185]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[-0.02032876 -0.5310711   2.2588453   1.1385032   0.763605   -0.4513596
  3.9739225   0.0861634  -2.4859822  -1.161018  ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.22698681 -0.5958309   2.0379415   1.3711982   0.6855664  -0.28283063
  4.418575    0.51653504 -2.6598992  -1.1634223 ]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[ 0.00864343 -0.18140681  1.877777    0.81812     0.8099881  -0.26135325
  3.4380312   0.7064733  -2.4846961  -0.9775387 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.05502719 -0.2765256   2.2023258   1.492757    0.69551575 -0.22012311
  4.605102    0.30799899 -2.7534606  -1.1408565 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.07696328 -0.34188786  1.8506414   1.0412459   0.7021342  -0.15812956
  3.699468    0.52214605 -2.5311203  -1.0590616 ]","[-0.01093002  0.02485782  0.15307218  0.10042553 -0.00835679  0.05713421
  0.12110322 -0.06190487 -0.08021249 -0.0039078 ]"
"[-0.01677766 -0.31599674  1.900864    1.0468298   0.8254698  -0.21241115
  4.0382056   0.6839128  -2.6606636  -0.8940066 ]","[-0.00538935 -0.01741703  0.07783855 -0.06781498  0.15544364 -0.08565056
  0.07289755  0.23928662 -0.47723898 -0.29011762]"
"[ 0.35122558 -0.660148    2.0044699   1.4683284   0.5077101  -0.20666645
  4.287492    0.40942404 -2.477517   -1.1591526 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.03424588 -0.47088635  1.9268491   1.0174723   0.6870564  -0.34698376
  3.5996628   0.31625617 -2.3371453  -1.045611  ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.01665607 -0.4658144   2.0335872   1.3391216   0.683914   -0.3250508
  4.25091     0.3182914  -2.6092715  -1.0514805 ]","[-0.00859257 -0.5124307   2.1901097   0.84789085  1.2521297  -0.5557427
  3.4164646   0.8160905  -2.8094969   0.28187254]"
"[ 0.01776337 -0.4831916   1.7520041   0.9570086   0.5646426  -0.32175088
  3.4284382   0.39813393 -2.2274144  -0.94652474]","[-0.07749262 -0.08662447  0.9837723  -0.06405678  0.9876338  -0.6021377
  1.1683023   1.9036317  -2.5826633  -1.0217075 ]"
"[ 0.14466833 -0.51023006  1.9333066   1.224136    0.6282338  -0.28970465
  4.0998793   0.48838735 -2.4518652  -0.88466316]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.23513079 -0.44510755  1.5144968   0.8976998   0.58262956 -0.15372396
  3.3356078   0.6317913  -2.0838459  -0.8329615 ]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[-0.25135306 -0.29176614  1.9479719   1.0442976   0.67621905 -0.43597013
  3.5771947   0.11653162 -2.479769   -1.1094884 ]","[-0.11059455  0.07616697  0.30990836  0.08583608  0.05741796  0.06120861
  0.25655377 -0.12464435 -0.12602733 -0.2647376 ]"
"[ 0.15638615 -0.39509365  2.0672622   1.3432004   0.6430823  -0.24422526
  4.1386404   0.3131631  -2.55392    -1.18693   ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.09552252 -0.5455477   2.05116     1.37328     0.67037886 -0.3248879
  4.452473    0.45619485 -2.4928234  -0.7997473 ]","[ 0.01483092 -0.635381    2.3159885   0.37963808  1.0640539  -0.78435093
  2.4837074   0.7381039  -2.6426222  -0.4217416 ]"
"[ 0.18375337 -0.5002009   1.6575767   1.2693442   0.42178154 -0.16316664
  3.6385264   0.41453245 -2.2163692  -1.0320463 ]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[ 0.28024417 -0.4579907   1.801981    1.4855477   0.48930407 -0.06270331
  4.2870493   0.7196925  -2.5338073  -1.1073643 ]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[-0.02450326 -0.3962308   2.3684773   1.3698757   0.8084724  -0.553089
  4.1455703  -0.05733793 -2.656586   -1.3371618 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.11848088 -0.5785028   2.0689344   1.3344799   0.5972885  -0.3371744
  4.1830454   0.31083307 -2.4245646  -1.0056175 ]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[ 0.36378852 -0.5341452   1.5983243   1.007599    0.5453043  -0.06957998
  3.6221793   0.8415302  -2.3307858  -1.0170462 ]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[-0.16667888 -0.12281931  1.9425303   0.77756053  0.818442   -0.303843
  3.6123583   0.5311926  -2.6859393  -0.92439604]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.17003885 -0.12452287  1.9444125   0.783322    0.81204385 -0.30462852
  3.6037426   0.49637806 -2.6582186  -0.9158683 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.14926754 -0.09935266  1.9579158   0.80700415  0.8315555  -0.29974055
  3.6788878   0.53568    -2.6872997  -0.90915775]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.38512984 -0.485969    1.507946    1.1942481   0.47705814  0.0201562
  3.9039903   1.0178276  -2.5373278  -1.1435341 ]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[ 0.47401762 -0.63402355  1.1747134   0.75356865  0.38583937 -0.14215472
  2.9196248   0.99765235 -1.8744692  -0.79213744]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[-0.19222428 -0.4382747   2.1390884   0.81443065  0.87158144 -0.5461292
  3.726141    0.2586257  -2.6708982  -1.0954999 ]","[-0.00417604 -0.02021421  0.03395922 -0.06808163  0.22539419 -0.01441918
  0.09353963  0.36905777 -0.4736696  -0.32925284]"
"[-0.18661314 -0.42607823  2.08494     0.7898892   0.85223097 -0.5335598
  3.6288445   0.255109   -2.6054153  -1.0721811 ]","[-0.00417604 -0.02021421  0.03395922 -0.06808163  0.22539419 -0.01441918
  0.09353963  0.36905777 -0.4736696  -0.32925284]"
"[-0.13696936 -0.10618851  1.9645487   0.8378161   0.8030903  -0.28633
  3.671911    0.4404801  -2.6208     -0.8987115 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.06676213 -0.39728454  1.7190484   0.82154804  0.6276783  -0.3461955
  3.2055426   0.38454664 -2.2694235  -0.9431374 ]","[ 0.04319736 -0.35051674  1.498276    0.6532173   0.81815284 -0.40905178
  2.3035116   0.5774985  -1.8439919   0.33482394]"
"[ 0.22991279 -0.31863004  1.9894477   1.2800618   0.6526644  -0.01910317
  4.2854176   0.8572837  -2.7239065  -1.070143  ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.45907828 -0.7570173   1.5322461   1.1408826   0.3647853  -0.05336457
  3.6715531   0.72933066 -2.1353354  -1.0658287 ]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[ 0.10478368 -0.5539239   2.3166776   1.405105    0.67493886 -0.47425735
  4.304381    0.0632718  -2.5277727  -1.1763812 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 3.1782454e-03 -4.8987243e-01  2.3401141e+00  1.3625329e+00
  8.0806756e-01 -4.1165560e-01  4.3873243e+00  1.9442084e-01
 -2.6179535e+00 -1.1468887e+00]","[ 0.59497327 -0.65674216  1.3366867  -0.38305002  0.388638   -0.9102993
  1.1327045   1.3827949  -1.576508    0.0042541 ]"
"[ 0.5008182  -0.8194725   1.2370974   0.97816074  0.29331425  0.04170165
  3.2431865   0.7444333  -1.9993792  -1.079664  ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.1871956  -0.29963148  2.2202327   0.998466    0.7505401  -0.56406784
  3.3369007  -0.07849547 -2.4291244  -1.2520665 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.1730977  -0.4208008   1.9990284   0.8795907   0.7920735  -0.5431902
  3.3478596   0.14524154 -2.4327507  -1.0732673 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.26128438 -0.7347939   2.1121333   1.6679738   0.5630142  -0.23169453
  4.5889606   0.337634   -2.6826494  -1.2956103 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.19779547 -0.16716774  1.6794019   0.83623534  0.63618076 -0.25875267
  3.2291963   0.43514138 -2.3701327  -0.8588249 ]","[-0.02353624 -0.03199091  0.13420671 -0.09938577  0.19096956 -0.04419796
  0.1448713   0.29160935 -0.46693444 -0.34187686]"
"[-0.1377518  -0.23741981  1.7058663   0.9049733   0.67631954 -0.39363903
  3.204593    0.35769337 -2.3982444  -0.9835959 ]","[-0.01093002  0.02485782  0.15307218  0.10042553 -0.00835679  0.05713421
  0.12110322 -0.06190487 -0.08021249 -0.0039078 ]"
"[-0.08807339 -0.38131362  1.9250896   0.96738017  0.7113773  -0.37266004
  3.4139993   0.14282629 -2.3841848  -1.1004226 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.09502786 -0.42504942  1.9868858   1.2860248   0.56408125 -0.23522344
  3.9328122   0.18257144 -2.3280003  -1.1353176 ]","[-0.00417604 -0.02021421  0.03395922 -0.06808163  0.22539419 -0.01441918
  0.09353963  0.36905777 -0.4736696  -0.32925284]"
"[-0.01679824 -0.38066554  1.691881    0.9495238   0.655851   -0.26298812
  3.5559475   0.57015455 -2.4393077  -0.89897054]","[ 0.42614022 -0.61138916  2.3692272   0.08438683  1.1840471  -0.75029236
  2.984749    1.1881474  -2.3046587   0.23066908]"
"[ 0.59555084 -0.4350496   1.4093674   1.1228224   0.45958766  0.1942554
  3.5324388   1.099501   -2.1164267  -1.0172646 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.3560928  -0.5209096   1.8411753   1.2421069   0.6424549   0.01838792
  4.3123775   0.7316841  -2.4109883  -0.88183224]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[-0.24716878 -0.18678217  1.8439882   0.80824727  0.6876042  -0.46468624
  3.1789048   0.01470641 -2.2811472  -0.9057438 ]","[ 0.03583064 -0.00196569 -0.03721402  0.0343334   0.16131918  0.05549572
  0.04000439  0.28173155 -0.21534409 -0.23366252]"
"[-0.19764905 -0.25831535  2.322412    0.58043575  1.0619417  -0.5669315
  2.9347713  -0.01799033 -2.3994348  -1.1267713 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.11863084 -0.41944176  2.2231965   1.4393142   0.6546143  -0.23973067
  4.3681335   0.2737089  -2.657672   -1.410513  ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.17962268 -0.12190403  1.9570248   0.7738894   0.83415544 -0.3119495
  3.6251998   0.51469326 -2.69348    -0.91773206]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.19222428 -0.4382747   2.1390884   0.81443065  0.87158144 -0.5461292
  3.726141    0.2586257  -2.6708982  -1.0954999 ]","[-0.00417604 -0.02021421  0.03395922 -0.06808163  0.22539419 -0.01441918
  0.09353963  0.36905777 -0.4736696  -0.32925284]"
"[ 0.19052239 -0.5523399   1.9819623   1.3124931   0.6146844  -0.35458103
  4.0267596   0.30806702 -2.401768   -1.0855415 ]","[ 0.28590176 -0.37011233  0.983301   -0.10921612  0.40858468 -0.5445623
  0.92352605  1.174451   -1.5791293  -0.26672074]"
"[ 0.08141362 -0.39596415  1.9124123   0.9836075   0.7324747  -0.28474987
  3.6790915   0.4376275  -2.3408244  -0.9771361 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.32779256 -0.6312819   1.949473    1.2910457   0.63544786 -0.21631247
  4.2091165   0.360471   -2.4506938  -0.9630768 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.04160116 -0.19303234  1.3499824   0.5271849   0.62947774 -0.25086823
  2.4278336   0.6969984  -2.1660733  -0.8444979 ]","[-0.03346129 -0.04773197  0.17667654 -0.03313481  0.2280117  -0.0444337
  0.18407689  0.35137233 -0.56460416 -0.32930887]"
"[ 0.19846568 -0.6893917   1.6776885   1.3046755   0.55645084 -0.16733897
  4.1671286   0.580544   -2.385681   -0.7624414 ]","[ 0.03748982 -0.4734023   2.1455238   0.82743716  1.1932486  -0.57133687
  3.2202253   0.8515933  -2.588763    0.3931795 ]"
"[-0.22960274 -0.250531    2.137306    0.9600443   0.8721591  -0.5524697
  3.580668   -0.00755873 -2.48265    -0.9684521 ]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[-0.22722487 -0.24787574  1.6508056   0.62329215  0.7319239  -0.3967975
  2.827639    0.12060422 -2.0440361  -0.7580985 ]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[-0.3445031  -0.24869306  2.0872576   1.3483665   0.6381467  -0.35871857
  3.8848078  -0.07107758 -2.5248058  -1.0599611 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.11466195 -0.57950133  2.236606    1.6024442   0.62415767 -0.3062323
  4.650675    0.1704313  -2.6499023  -1.1141503 ]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[-0.03449339 -0.08216561  2.2234066   1.1171323   0.88356614 -0.3592363
  3.948004    0.13817234 -2.560769   -1.0404625 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.02979091  0.03214065 -0.03373222  0.01574772  0.03603272 -0.02652886
  0.01396501  0.03747661  0.01981682 -0.0004583 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.1730977  -0.4208008   1.9990284   0.8795907   0.7920735  -0.5431902
  3.3478596   0.14524154 -2.4327507  -1.0732673 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.27775145  0.16675074  1.6269029   0.25180873  1.082708   -0.62156874
  3.1005244   2.003073   -3.440034   -1.2178092 ]","[ 0.04075242 -0.24272922  0.7381407   0.07064207  0.54924345 -0.26897812
  0.6466875   1.0252621  -1.7416083  -0.50670284]"
"[-0.25273207 -0.31950116  2.124157    0.96530056  0.72534287 -0.49890918
  3.512281   -0.10137805 -2.5019631  -1.1020333 ]","[-0.01093002  0.02485782  0.15307218  0.10042553 -0.00835679  0.05713421
  0.12110322 -0.06190487 -0.08021249 -0.0039078 ]"
