volledigeOmschrijving,soortWoning
"[-0.17869866 -0.28886765  2.013262    0.90801793  0.76985645 -0.41107053
  3.5098383   0.13699982 -2.465274   -1.022281  ]","[-0.03339614 -0.09728422  0.02919291 -0.00017094 -0.00706282 -0.10961994
 -0.04413243  0.08528382 -0.15268768 -0.13095367]"
"[ 0.02175817 -0.5814536   2.3723612   1.4644637   0.6786069  -0.47449633
  4.248879   -0.06678539 -2.625768   -1.3747233 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.01689486 -0.43374696  1.9646262   1.1439527   0.62784415 -0.29873174
  3.855014    0.29838175 -2.5177166  -1.039323  ]","[ 0.43635392 -0.65829664  1.2989486  -0.22236998  0.60749024 -0.8082232
  1.018103    1.651968   -2.2832012  -0.39869845]"
"[-0.06308228 -0.47684622  2.1593797   1.3946604   0.62250197 -0.4787688
  4.1011453   0.11587899 -2.5429811  -1.1013743 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.03035141 -0.43174785  1.8995777   1.2610362   0.666348   -0.29005715
  3.9519463   0.41205624 -2.511091   -1.0316979 ]","[ 0.03583064 -0.00196569 -0.03721402  0.0343334   0.16131918  0.05549572
  0.04000439  0.28173155 -0.21534409 -0.23366252]"
"[-0.18374673 -0.24696872  2.0196602   0.9354846   0.7560803  -0.4074317
  3.5017152   0.06608755 -2.438808   -1.0413873 ]","[-0.03339614 -0.09728422  0.02919291 -0.00017094 -0.00706282 -0.10961994
 -0.04413243  0.08528382 -0.15268768 -0.13095367]"
"[-0.03179504 -0.45165583  2.1628542   1.2029274   0.67386675 -0.42766574
  4.0616636   0.25514317 -2.5066974  -1.0493784 ]","[ 0.05766224 -0.10071538  0.31519786 -0.00302673  0.14432012 -0.22896287
  0.24853738  0.3814124  -0.46215644 -0.19419156]"
"[ 0.40895444 -0.70810515  1.5029708   1.0146862   0.5060858  -0.06226882
  3.5262096   0.79249114 -2.1264286  -0.9409765 ]","[ 0.43635392 -0.65829664  1.2989486  -0.22236998  0.60749024 -0.8082232
  1.018103    1.651968   -2.2832012  -0.39869845]"
"[ 0.63002217 -0.93761337  1.5194602   1.1639812   0.33914518 -0.01325248
  3.8507056   0.8883409  -2.1440747  -1.1157341 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.4321024  -0.5344958   1.7196977   1.0508469   0.5129949  -0.07200952
  3.734285    0.6131284  -2.2444088  -0.9897827 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.0177884  -0.17585592  1.8885597   0.9854556   0.6945238  -0.2956631
  3.7767303   0.7072972  -2.753904   -1.1251334 ]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[ 0.13556615 -0.6368795   1.9320722   1.4023489   0.57995737 -0.22135532
  4.224368    0.3780769  -2.577269   -1.1192266 ]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[-0.20096889 -0.26817805  2.0515127   0.91845244  0.7930744  -0.4160348
  3.5456967   0.1030875  -2.5076284  -1.0474045 ]","[-0.03339614 -0.09728422  0.02919291 -0.00017094 -0.00706282 -0.10961994
 -0.04413243  0.08528382 -0.15268768 -0.13095367]"
"[-0.25147197 -0.18294202  2.0127048   0.8515295   0.80609596 -0.38230735
  3.4304585   0.0879842  -2.5010908  -1.0637581 ]","[-0.11059455  0.07616697  0.30990836  0.08583608  0.05741796  0.06120861
  0.25655377 -0.12464435 -0.12602733 -0.2647376 ]"
"[-2.7215594e-01 -3.8656113e-01  2.0966835e+00  8.6498708e-01
  7.3290610e-01 -5.3509766e-01  3.4985957e+00 -1.8591540e-03
 -2.5335057e+00 -1.0931973e+00]","[ 0.03583064 -0.00196569 -0.03721402  0.0343334   0.16131918  0.05549572
  0.04000439  0.28173155 -0.21534409 -0.23366252]"
"[-2.7215594e-01 -3.8656113e-01  2.0966835e+00  8.6498708e-01
  7.3290610e-01 -5.3509766e-01  3.4985957e+00 -1.8591540e-03
 -2.5335057e+00 -1.0931973e+00]","[ 0.03583064 -0.00196569 -0.03721402  0.0343334   0.16131918  0.05549572
  0.04000439  0.28173155 -0.21534409 -0.23366252]"
"[-0.26720217 -0.38698003  2.083326    0.850635    0.7367044  -0.5354029
  3.4832973   0.02488855 -2.5296957  -1.0832319 ]","[ 0.03583064 -0.00196569 -0.03721402  0.0343334   0.16131918  0.05549572
  0.04000439  0.28173155 -0.21534409 -0.23366252]"
"[-0.02006626 -0.22851153  1.8337417   0.82719517  0.62164676 -0.3784607
  3.023196    0.2587324  -2.2846868  -1.1898034 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.19220711 -0.22762237  1.908532    0.756258    0.7274869  -0.46352956
  2.9518368   0.1079966  -2.3385231  -1.1608508 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.1872121  -0.23008351  1.8344706   0.712703    0.7092777  -0.45253083
  2.8676302   0.1350475  -2.2712889  -1.1043959 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.17507744 -0.19651675  1.9352148   0.8416285   0.6895254  -0.4342061
  3.189223    0.18362358 -2.4154027  -1.1300155 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.18635714 -0.22996618  1.83563     0.7136684   0.7095865  -0.45254937
  2.8688562   0.13670242 -2.2748554  -1.1055548 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.06273306 -0.4754163   1.8927188   1.2103995   0.5964519  -0.35984376
  3.6408195   0.3848511  -2.3864312  -1.1833142 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.17228916 -0.24166226  1.8734193   0.9630987   0.6917903  -0.38733807
  3.3833807   0.15086885 -2.3492956  -0.9652834 ]","[-0.00417604 -0.02021421  0.03395922 -0.06808163  0.22539419 -0.01441918
  0.09353963  0.36905777 -0.4736696  -0.32925284]"
"[-0.10251158 -0.39342216  2.186102    1.2138622   0.63936377 -0.44286945
  3.8511648  -0.03926469 -2.47595    -1.2308513 ]","[-0.00288976 -0.02551908  0.16328096 -0.02827487  0.09246991 -0.00406185
  0.14266773  0.12683468 -0.20187378 -0.25891054]"
"[ 0.41751802 -0.70005804  1.7993851   1.2844994   0.50945127 -0.16670753
  4.188663    0.81302136 -2.3900287  -0.9796542 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
